Vehicle ID,Traveled Time
23.11,58.0
13.19,43.39999999999998
5.12,56.30000000000001
35.7,60.80000000000001
23.12,64.40000000000003
35.8,59.799999999999955
23.13,76.09999999999997
14,41.0
35.9,58.80000000000001
23.14,66.5
5.13,55.80000000000001
14.1,41.80000000000001
35.10,57.900000000000034
23.15,71.0
5.14,54.599999999999966
35.11,63.0
14.2,41.599999999999966
5.15,53.19999999999999
23.16,72.30000000000001
35.12,55.099999999999966
14.3,40.60000000000002
5.16,62.39999999999998
35.13,64.69999999999999
23.17,65.19999999999999
35.14,50.89999999999998
23.18,71.0
5.17,60.69999999999999
35.15,58.0
35.16,58.0
23.19,73.19999999999999
5.18,62.60000000000002
35.17,56.599999999999966
14.4,57.400000000000034
24,71.89999999999998
5.19,62.19999999999999
35.18,46.19999999999999
